Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.,,,,,,
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees),,,,,,
1,11263.7,0,56:13.3,02:30.1,3.33,00:00.0,0,23,1096,10.3,0,---,---,---,---,---,---,---,---,---,---,52.2104768,0.1329688,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,445.6,0,02:47.0,02:47.7,2.98,00:00.0,0,21,53,8.9,0,---,---,---,---,---,---,---,---,---,---,52.2114495,0.1404916,,,,,,
1,454.4,0,02:50.0,02:47.7,2.98,00:00.0,0,20,54,8.8,0,---,---,---,---,---,---,---,---,---,---,52.2114888,0.140604,,,,,,
1,462.5,0,02:52.8,02:49.4,2.95,00:00.0,0,20.5,55,8.1,0,---,---,---,---,---,---,---,---,---,---,52.2115266,0.1407054,,,,,,
1,471.2,0,02:55.8,02:51.8,2.91,00:00.0,0,20.5,56,8.7,0,---,---,---,---,---,---,---,---,---,---,52.211568,0.1408132,,,,,,
1,480.5,0,02:59.0,02:51.2,2.92,00:00.0,0,19,57,9.3,0,---,---,---,---,---,---,---,---,---,---,52.2116044,0.1409361,,,,,,
1,490.2,0,03:02.2,02:50.0,2.94,00:00.0,0,19,58,9.7,0,---,---,---,---,---,---,---,---,---,---,52.2116567,0.1410503,,,,,,
1,500,0,03:05.4,02:48.3,2.97,00:00.0,0,18,59,9.8,0,---,---,---,---,---,---,---,---,---,---,52.2117114,0.1411628,,,,,,
1,510,0,03:08.8,02:48.3,2.97,00:00.0,0,18.5,60,10,0,---,---,---,---,---,---,---,---,---,---,52.2117664,0.1412791,,,,,,
1,519.6,0,03:12.0,02:48.3,2.97,00:00.0,0,18.5,61,9.6,0,---,---,---,---,---,---,---,---,---,---,52.2118261,0.1413799,,,,,,
1,529.4,0,03:15.2,02:47.2,2.99,00:00.0,0,18.5,62,9.8,0,---,---,---,---,---,---,---,---,---,---,52.211887,0.141484,,,,,,
1,539.1,0,03:18.4,02:46.1,3.01,00:00.0,0,18.5,63,9.8,0,---,---,---,---,---,---,---,---,---,---,52.2119487,0.1415856,,,,,,
1,549,0,03:21.6,02:46.6,3,00:00.0,0,18.5,64,9.9,0,---,---,---,---,---,---,---,---,---,---,52.2120176,0.1416766,,,,,,
1,559.1,0,03:25.0,02:46.6,3,00:00.0,0,19,65,10.1,0,---,---,---,---,---,---,---,---,---,---,52.2120824,0.1417798,,,,,,
1,569.1,0,03:28.4,02:46.1,3.01,00:00.0,0,19,66,10,0,---,---,---,---,---,---,---,---,---,---,52.2121549,0.1418659,,,,,,
1,578.9,0,03:31.4,02:44.4,3.04,00:00.0,0,18.5,67,9.8,0,---,---,---,---,---,---,---,---,---,---,52.2122255,0.1419523,,,,,,
1,588.4,0,03:34.4,02:40.2,3.12,00:00.0,0,18.5,68,9.5,0,---,---,---,---,---,---,---,---,---,---,52.212293,0.1420367,,,,,,
1,600.1,0,03:37.8,02:33.3,3.26,00:00.0,0,18,69,11.8,0,---,---,---,---,---,---,---,---,---,---,52.2123839,0.1421254,,,,,,
1,612.3,0,03:41.4,02:27.9,3.38,00:00.0,0,17.5,70,12.1,0,---,---,---,---,---,---,---,---,---,---,52.2124828,0.1421985,,,,,,
1,623.9,0,03:44.8,02:26.6,3.41,00:00.0,0,17,71,11.6,0,---,---,---,---,---,---,---,---,---,---,52.2125779,0.1422696,,,,,,
1,635.4,0,03:48.4,02:28.8,3.36,00:00.0,0,17,72,11.5,0,---,---,---,---,---,---,---,---,---,---,52.2126735,0.1423351,,,,,,
1,645.6,0,03:51.6,02:31.5,3.3,00:00.0,0,18,73,10.1,0,---,---,---,---,---,---,---,---,---,---,52.2127558,0.1423985,,,,,,
1,658,0,03:55.4,02:33.3,3.26,00:00.0,0,17,74,12.5,0,---,---,---,---,---,---,---,---,---,---,52.212861,0.1424615,,,,,,
1,669.3,0,03:58.6,02:31.9,3.29,00:00.0,0,16.5,75,11.3,0,---,---,---,---,---,---,---,---,---,---,52.2129555,0.1425223,,,,,,
1,682.5,0,04:02.4,02:23.6,3.48,00:00.0,0,16.5,76,13.2,0,---,---,---,---,---,---,---,---,---,---,52.2130627,0.1426041,,,,,,
1,694.4,0,04:05.8,02:18.1,3.62,00:00.0,0,17,77,11.9,0,---,---,---,---,---,---,---,---,---,---,52.2131589,0.1426803,,,,,,
1,708.2,0,04:09.4,02:15.1,3.7,00:00.0,0,17,78,13.8,0,---,---,---,---,---,---,---,---,---,---,52.2132691,0.1427715,,,,,,
1,722,0,04:13.0,02:12.6,3.77,00:00.0,0,16.5,79,13.8,0,---,---,---,---,---,---,---,---,---,---,52.2133798,0.1428634,,,,,,
1,734.8,0,04:16.5,02:10.2,3.84,00:00.0,0,16.5,80,12.8,0,---,---,---,---,---,---,---,---,---,---,52.2134844,0.1429425,,,,,,
1,748.6,0,04:20.2,02:08.8,3.88,00:00.0,0,17,81,13.8,0,---,---,---,---,---,---,---,---,---,---,52.2135982,0.1430229,,,,,,
1,775,0,04:30.2,03:45.2,2.22,00:00.0,0,24.5,82,26.3,0,---,---,---,---,---,---,---,---,---,---,52.2141895,0.1435759,,,,,,
1,777.5,0,04:31.4,05:22.5,1.55,00:00.0,0,27.5,83,2.6,0,---,---,---,---,---,---,---,---,---,---,52.2142093,0.1435953,,,,,,
1,788.5,0,04:35.6,03:37.3,2.3,00:00.0,0,14.5,84,11,0,---,---,---,---,---,---,---,---,---,---,52.2142873,0.143694,,,,,,
1,800,0,04:39.4,03:05.8,2.69,00:00.0,0,15.5,85,11.4,0,---,---,---,---,---,---,---,---,---,---,52.2143622,0.1438086,,,,,,
1,812.5,0,04:43.2,02:43.9,3.05,00:00.0,0,16,86,12.6,0,---,---,---,---,---,---,---,---,---,---,52.2144596,0.1439024,,,,,,
1,824.9,0,04:46.9,02:33.3,3.26,00:00.0,0,16,87,12.4,0,---,---,---,---,---,---,---,---,---,---,52.214553,0.1440004,,,,,,
1,838.2,0,04:50.6,02:27.9,3.38,00:00.0,0,16,88,13.3,0,---,---,---,---,---,---,---,---,---,---,52.2146494,0.1441145,,,,,,
1,851,0,04:54.4,02:26.1,3.42,00:00.0,0,16,89,12.9,0,---,---,---,---,---,---,---,---,---,---,52.2147317,0.1442465,,,,,,
1,863.2,0,04:58.0,02:27.0,3.4,00:00.0,0,16.5,90,12.2,0,---,---,---,---,---,---,---,---,---,---,52.2148048,0.1443788,,,,,,
1,875.9,0,05:01.8,02:27.4,3.39,00:00.0,0,16.5,91,12.7,0,---,---,---,---,---,---,---,---,---,---,52.2148873,0.144508,,,,,,
1,894,0,05:07.2,02:30.1,3.33,00:00.0,0,11,92,18.1,0,---,---,---,---,---,---,---,---,---,---,52.2150029,0.1446949,,,,,,
1,910.1,0,05:12.2,02:37.7,3.17,00:00.0,0,11.5,93,16.1,0,---,---,---,---,---,---,---,---,---,---,52.2151211,0.1448313,,,,,,
1,936.8,0,05:21.7,03:07.2,2.67,00:00.0,0,33.5,94,26.6,0,---,---,---,---,---,---,---,---,---,---,52.2154027,0.1451559,,,,,,
1,943.1,0,05:24.2,03:14.5,2.57,00:00.0,0,19.5,95,6.3,0,---,---,---,---,---,---,---,---,---,---,52.2154547,0.1451925,,,,,,
1,968.2,0,05:33.3,03:13.0,2.59,00:00.0,0,43.5,96,25.1,0,---,---,---,---,---,---,---,---,---,---,52.2157431,0.1453351,,,,,,
1,974.5,0,05:35.4,03:16.8,2.54,00:00.0,0,13.5,97,6.3,0,---,---,---,---,---,---,---,---,---,---,52.2157985,0.1453508,,,,,,
1,997.9,0,05:45.0,03:28.3,2.4,00:00.0,0,33.5,98,23.4,0,---,---,---,---,---,---,---,---,---,---,52.2160432,0.1454246,,,,,,
1,1027.6,0,05:58.9,04:21.7,1.91,00:00.0,0,8.5,99,29.7,0,---,---,---,---,---,---,---,---,---,---,52.2165574,0.1455146,,,,,,
1,1061.5,0,06:11.5,03:28.3,2.4,00:00.0,0,12,100,33.9,0,---,---,---,---,---,---,---,---,---,---,52.2169032,0.1456349,,,,,,
