Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4342.4,0,20:25.9,02:21.2,3.54,00:00.0,0,30.5,526,8.3,0,153,---,---,---,---,---,---,---,---,---,52.236077,0.1735645
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,522.6,0,01:53.2,01:54.6,4.36,00:00.0,0,36.5,74,7,0,177,---,---,---,---,---,---,---,---,---,52.2317937,0.1710316
1,530.2,0,01:55.0,01:55.4,4.33,00:00.0,0,37,75,7.6,0,177,---,---,---,---,---,---,---,---,---,52.2317267,0.1710089
1,537.1,0,01:56.6,01:54.6,4.36,00:00.0,0,37,76,6.9,0,177,---,---,---,---,---,---,---,---,---,52.2316662,0.1709859
1,544,0,01:58.4,01:52.8,4.43,00:00.0,0,35,77,6.9,0,177,---,---,---,---,---,---,---,---,---,52.2316057,0.1709649
1,551.2,0,01:59.8,01:52.1,4.46,00:00.0,0,36.5,78,7.1,0,177,---,---,---,---,---,---,---,---,---,52.2315439,0.1709379
1,557.3,0,02:01.5,01:51.8,4.47,00:00.0,0,37,79,6.1,0,176,---,---,---,---,---,---,---,---,---,52.2314905,0.1709164
1,565.8,0,02:03.2,01:51.1,4.5,00:00.0,0,37,80,8.5,0,176,---,---,---,---,---,---,---,---,---,52.2314164,0.1708877
1,572.9,0,02:04.8,01:51.3,4.49,00:00.0,0,35,81,7.2,0,176,---,---,---,---,---,---,---,---,---,52.2313538,0.1708619
1,580.1,0,02:06.4,01:50.3,4.53,00:00.0,0,36.5,82,7.1,0,176,---,---,---,---,---,---,---,---,---,52.2312917,0.1708358
1,587.9,0,02:08.2,01:51.6,4.48,00:00.0,0,37,83,7.8,0,176,---,---,---,---,---,---,---,---,---,52.2312234,0.1708094
1,595.4,0,02:09.8,01:52.8,4.43,00:00.0,0,35,84,7.5,0,176,---,---,---,---,---,---,---,---,---,52.2311577,0.1707869
1,602.6,0,02:11.4,01:51.1,4.5,00:00.0,0,37,85,7.3,0,175,---,---,---,---,---,---,---,---,---,52.2310942,0.1707621
1,609.8,0,02:13.0,01:50.3,4.53,00:00.0,0,37,86,7.2,0,176,---,---,---,---,---,---,---,---,---,52.2310308,0.1707417
1,616.8,0,02:14.6,01:50.1,4.54,00:00.0,0,37,87,7,0,175,---,---,---,---,---,---,---,---,---,52.2309684,0.1707287
1,624.2,0,02:16.4,01:51.8,4.47,00:00.0,0,37,88,7.3,0,175,---,---,---,---,---,---,---,---,---,52.2309038,0.1707081
1,632.2,0,02:18.0,01:50.1,4.54,00:00.0,0,37,89,8.1,0,176,---,---,---,---,---,---,---,---,---,52.2308339,0.1706781
1,637.7,0,02:19.4,01:48.6,4.6,00:00.0,0,37,90,5.5,0,176,---,---,---,---,---,---,---,---,---,52.2307861,0.1706594
1,646.1,0,02:21.2,01:49.6,4.56,00:00.0,0,35.5,91,8.4,0,175,---,---,---,---,---,---,---,---,---,52.2307121,0.1706329
1,653.3,0,02:22.8,01:51.8,4.47,00:00.0,0,36.5,92,7.2,0,175,---,---,---,---,---,---,---,---,---,52.2306487,0.1706131
1,661.4,0,02:24.6,01:51.3,4.49,00:00.0,0,37,93,8.1,0,175,---,---,---,---,---,---,---,---,---,52.2305776,0.1705895
1,668.5,0,02:26.2,01:51.1,4.5,00:00.0,0,35.5,94,7.2,0,175,---,---,---,---,---,---,---,---,---,52.2305144,0.1705683
1,675.8,0,02:27.8,01:51.6,4.48,00:00.0,0,36,95,7.3,0,176,---,---,---,---,---,---,---,---,---,52.2304504,0.1705468
1,683,0,02:29.4,01:51.3,4.49,00:00.0,0,37,96,7.1,0,175,---,---,---,---,---,---,---,---,---,52.2303882,0.1705221
1,689.9,0,02:31.0,01:52.8,4.43,00:00.0,0,37,97,6.9,0,175,---,---,---,---,---,---,---,---,---,52.2303276,0.1704989
