Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,8200.2,0,40:52.3,02:29.7,3.34,00:00.0,0,28,879,9.3,0,---,---,---,---,---,---,---,---,---,---,52.2105662,0.1326208
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,1395,0,07:25.6,06:04.9,1.37,00:00.0,0,44.5,102,1.9,0,---,---,---,---,---,---,---,---,---,---,52.2181753,0.1492604
1,1396.7,0,07:26.6,06:13.1,1.34,00:00.0,0,43.5,103,1.7,0,---,---,---,---,---,---,---,---,---,---,52.2181845,0.1492798
1,1398.9,0,07:28.2,06:07.6,1.36,00:00.0,0,43.5,104,2.2,0,---,---,---,---,---,---,---,---,---,---,52.2181979,0.1493041
1,1400.6,0,07:29.4,06:07.6,1.36,00:00.0,0,44,105,1.6,0,---,---,---,---,---,---,---,---,---,---,52.2182073,0.1493228
1,1402.5,0,07:30.8,06:13.1,1.34,00:00.0,0,43,106,1.9,0,---,---,---,---,---,---,---,---,---,---,52.2182185,0.1493437
1,1404.6,0,07:32.4,06:18.7,1.32,00:00.0,0,40.5,107,2.2,0,---,---,---,---,---,---,---,---,---,---,52.2182315,0.149367
1,1406.7,0,07:34.0,06:24.6,1.3,00:00.0,0,36.5,108,2.1,0,---,---,---,---,---,---,---,---,---,---,52.2182437,0.1493906
1,1408.6,0,07:35.4,06:30.6,1.28,00:00.0,0,41,109,1.8,0,---,---,---,---,---,---,---,---,---,---,52.2182551,0.14941
1,1410.4,0,07:36.8,06:24.6,1.3,00:00.0,0,44,110,1.9,0,---,---,---,---,---,---,---,---,---,---,52.2182657,0.149431
1,1412,0,07:38.0,06:13.1,1.34,00:00.0,0,44,111,1.6,0,---,---,---,---,---,---,---,---,---,---,52.2182748,0.1494493
1,1413.9,0,07:39.4,06:07.6,1.36,00:00.0,0,44,112,1.9,0,---,---,---,---,---,---,---,---,---,---,52.2182847,0.1494714
1,1415.6,0,07:40.7,06:04.9,1.37,00:00.0,0,44,113,1.7,0,---,---,---,---,---,---,---,---,---,---,52.2182941,0.1494906
1,1417.8,0,07:42.2,05:59.7,1.39,00:00.0,0,43.5,114,2.2,0,---,---,---,---,---,---,---,---,---,---,52.2183062,0.149516
1,1419.4,0,07:43.6,05:57.1,1.4,00:00.0,0,44,115,1.7,0,---,---,---,---,---,---,---,---,---,---,52.2183146,0.1495365
1,1421.3,0,07:44.8,05:57.1,1.4,00:00.0,0,44,116,1.9,0,---,---,---,---,---,---,---,---,---,---,52.2183238,0.1495603
1,1423.2,0,07:46.2,05:59.7,1.39,00:00.0,0,43,117,1.9,0,---,---,---,---,---,---,---,---,---,---,52.2183327,0.149584
1,1425.2,0,07:47.6,06:10.3,1.35,00:00.0,0,43,118,1.9,0,---,---,---,---,---,---,---,---,---,---,52.2183419,0.1496079
1,1427.3,0,07:49.2,06:13.1,1.34,00:00.0,0,41,119,2.2,0,---,---,---,---,---,---,---,---,---,---,52.2183517,0.1496352
1,1430.7,0,07:51.4,05:59.7,1.39,00:00.0,0,27.5,120,3.3,0,---,---,---,---,---,---,---,---,---,---,52.2183663,0.1496778
1,1434.4,0,07:53.6,05:26.7,1.53,00:00.0,0,27,121,3.8,0,---,---,---,---,---,---,---,---,---,---,52.2183824,0.1497265
1,1437.7,0,07:55.6,04:55.8,1.69,00:00.0,0,28.5,122,3.3,0,---,---,---,---,---,---,---,---,---,---,52.2183951,0.1497704
1,1442.2,0,07:57.8,04:33.2,1.83,00:00.0,0,27.5,123,4.5,0,---,---,---,---,---,---,---,---,---,---,52.2184136,0.1498283
